wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776430665384,1,0,0,0,0
1776430666385,61,2,830,20,40
1776430667385,121,2,3208,40,160
1776430668386,181,2,5742,60,280
1776430669386,241,2,8322,80,400
1776430670386,301,2,10820,100,520
1776430671386,361,2,13332,120,640
1776430672386,421,2,15918,140,760
1776430673388,481,2,18506,160,880
1776430674388,541,2,21064,180,1000
1776430675389,601,2,23628,200,1120
1776430676389,661,2,26154,220,1240
1776430677391,721,2,28726,240,1360
1776430678393,781,2,31326,260,1480
1776430679395,841,2,33810,280,1600
1776430680398,901,2,36334,300,1721
1776430681401,962,2,38946,320,1842
