wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776431539319,1,0,0,0,0
1776431540321,61,8,5468,20,99
1776431541322,121,8,37188,40,579
1776431542322,181,8,71644,60,1060
1776431543322,241,8,107116,80,1539
1776431544323,301,8,142268,100,2019
1776431545324,361,8,176868,120,2502
1776431546324,421,8,214396,140,2981
1776431547326,481,8,250948,160,3463
1776431548326,541,8,286564,180,3943
1776431549326,601,8,321524,200,4422
1776431550326,661,8,355516,220,4903
1776431551326,721,8,389492,240,5382
1776431552328,781,8,425852,260,5862
1776431553329,841,8,461684,280,6343
1776431554329,901,8,497388,300,6823
1776431555330,961,8,533804,320,7304
1776431556332,1021,8,570388,340,7785
1776431557334,1081,8,604972,360,8265
1776431558336,1142,8,640412,380,8746
1776431559337,1202,8,677340,400,9227
1776431560339,1261,8,714828,420,9707
1776431561340,1321,8,752868,440,10187
1776431562341,1381,8,789196,460,10667
1776431563341,1441,8,826972,480,11149
1776431564343,1501,8,863348,500,11629
1776431565345,1561,8,900236,520,12109
1776431566345,1622,8,937884,540,12589
1776431567346,1682,8,974356,560,13070
1776431568347,1742,8,1013972,580,13551
1776431569348,1802,8,1052076,600,14030
1776431570349,1862,8,1090540,620,14511
1776431571350,1922,8,1126948,640,14991
1776431572351,1982,8,1162972,660,15473
1776431573352,2042,8,1198148,680,15952
1776431574353,2102,8,1235188,700,16435
1776431575353,2162,8,1271692,720,16915
1776431576354,2222,8,1309540,740,17395
1776431577354,2282,8,1345724,760,17875
1776431578356,2342,8,1381724,780,18355
1776431579356,2402,8,1417436,800,18836
1776431580357,2462,8,1453692,820,19316
1776431581358,2522,8,1489148,840,19797
1776431582360,2582,8,1524596,860,20277
1776431583361,2642,8,1559668,880,20757
1776431584363,2703,8,1598788,901,21239
1776431585364,2763,8,1633268,921,21718
1776431586365,2823,8,1667036,941,22199
1776431587366,2883,8,1701820,961,22679
1776431588366,2943,8,1735620,981,23160
1776431589366,3003,8,1772500,1001,23638
1776431590367,3063,8,1806844,1021,24119
1776431591368,3123,8,1842068,1041,24600
1776431592369,3183,8,1877364,1061,25082
1776431593369,3243,8,1914068,1081,25563
1776431594369,3303,8,1949324,1101,26043
1776431595369,3363,8,1985660,1121,26522
1776431596369,3423,8,2023460,1141,27003
1776431597369,3483,8,2061476,1161,27483
1776431598371,3543,8,2099388,1181,27963
1776431599372,3603,8,2135740,1201,28443
1776431600372,3663,0,2158796,1221,28776
