wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431539889,1,0,0,1,0,0
1776431540891,1,90,2995,61,150,0
1776431541890,1,150,7355,121,147,0
1776431542891,1,210,11592,181,147,0
1776431543890,1,270,16158,241,150,0
1776431544890,1,330,20323,301,148,0
1776431545891,1,390,24968,361,150,0
1776431546891,1,450,29488,421,147,0
1776431547889,1,510,33996,481,151,0
1776431548891,1,570,38418,541,149,0
1776431549890,1,630,42698,601,149,0
1776431550890,1,690,46875,661,152,0
1776431551891,1,750,51280,721,148,0
1776431552891,1,810,55805,781,148,0
1776431553890,1,870,60301,841,149,0
1776431554889,1,930,64762,901,149,0
1776431555890,1,990,69463,961,153,0
1776431556891,1,1050,73905,1021,149,0
1776431557889,1,1110,78282,1081,150,0
1776431558890,1,1170,82774,1141,147,0
1776431559891,1,1230,87568,1201,147,0
1776431560889,1,1290,92189,1261,143,0
1776431561891,1,1350,96869,1321,145,0
1776431562889,1,1410,101541,1381,144,0
1776431563891,1,1470,106182,1441,144,0
1776431564889,1,1530,110655,1501,143,0
1776431565891,1,1590,115406,1561,144,0
1776431566889,1,1650,119950,1621,143,0
1776431567889,1,1710,124743,1681,140,0
1776431568889,1,1770,129602,1741,142,0
1776431569890,1,1830,134321,1801,142,0
1776431570889,1,1890,139044,1861,142,0
1776431571890,1,1950,143454,1921,144,0
1776431572891,1,2010,147956,1981,143,0
1776431573890,1,2070,152391,2041,141,0
1776431574889,1,2130,157069,2101,144,0
1776431575890,1,2190,161703,2161,141,0
1776431576890,1,2250,166312,2221,142,0
1776431577890,1,2310,170906,2281,140,0
1776431578889,1,2370,175316,2341,143,0
1776431579890,1,2430,179885,2401,141,0
1776431580890,1,2490,184369,2461,147,0
1776431581890,1,2550,188906,2521,146,0
1776431582891,1,2610,193235,2581,147,0
1776431583890,1,2670,197717,2641,145,0
1776431584890,1,2730,202325,2701,144,0
1776431585891,1,2790,206508,2761,142,0
1776431586889,1,2850,210932,2821,143,0
1776431587889,1,2910,215100,2881,145,0
1776431588889,1,2970,219560,2941,141,0
1776431589889,1,3030,224023,3001,144,0
1776431590890,1,3090,228201,3061,140,0
1776431591891,1,3150,232729,3121,142,0
1776431592889,1,3210,237014,3181,146,0
1776431593890,1,3270,241745,3241,142,0
1776431594891,1,3330,245936,3301,142,0
1776431595890,1,3390,250814,3361,145,0
1776431596888,1,3450,255465,3421,143,0
1776431597890,1,3510,260180,3481,145,0
1776431598889,1,3570,264852,3541,145,0
