wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776430541937,2,0,0,1,0,0
1776430542938,2,90,1129,61,239,0
1776430543940,2,150,2360,121,255,0
1776430544940,2,210,3652,181,242,0
1776430545938,2,270,4925,241,239,0
1776430546939,2,330,6139,301,256,0
1776430547939,2,390,7417,361,240,0
1776430548939,2,450,8667,421,242,0
1776430549939,2,510,9935,481,240,0
1776430550937,2,570,11213,541,255,0
1776430551937,2,630,12479,601,242,0
1776430552939,2,690,13759,661,236,0
1776430553938,2,750,15052,721,239,0
1776430554938,2,810,16322,781,242,0
1776430555939,2,870,17592,841,241,0
1776430556939,2,930,18865,901,241,0
1776430557938,2,990,20149,961,255,0
1776430558938,2,1050,21454,1021,236,0
1776430559938,2,1110,22782,1081,240,0
1776430560940,2,1170,24130,1141,241,0
1776430561939,2,1230,25485,1201,238,0
1776430562938,2,1290,26825,1261,237,0
1776430563939,2,1350,28172,1321,240,0
1776430564937,2,1410,29505,1381,241,0
1776430565939,2,1470,30860,1441,243,0
1776430566937,2,1530,32226,1501,256,0
1776430567938,2,1590,33537,1561,240,0
1776430568937,2,1650,34861,1621,239,0
1776430569938,2,1710,36225,1681,242,0
1776430570939,2,1770,37564,1741,255,0
1776430571937,2,1830,38880,1801,241,0
1776430572938,2,1890,40214,1861,238,0
1776430573938,2,1950,41536,1921,256,0
1776430574938,2,2010,42879,1981,239,0
1776430575939,2,2070,44213,2041,239,0
1776430576938,2,2130,45534,2101,243,0
1776430577937,2,2190,46864,2161,234,0
1776430578939,2,2250,48214,2221,241,0
1776430579937,2,2310,49535,2281,243,0
1776430580937,2,2370,50855,2341,238,0
1776430581938,2,2430,52196,2401,241,0
1776430582938,2,2490,53568,2461,255,0
1776430583937,2,2550,54903,2521,239,0
1776430584938,2,2610,56231,2581,238,0
1776430585937,2,2670,57593,2641,256,0
1776430586937,2,2730,58946,2701,237,0
1776430587939,2,2790,60290,2761,241,0
1776430588938,2,2850,61636,2821,242,0
1776430589939,2,2910,62960,2881,258,0
1776430590939,2,2970,64302,2941,252,0
1776430591937,2,3030,65648,3001,239,0
1776430592939,2,3090,66965,3061,255,0
1776430593938,2,3150,68284,3121,240,0
1776430594939,2,3210,69632,3181,241,0
1776430595939,2,3270,70978,3241,240,0
1776430596938,2,3330,72287,3301,242,0
1776430597939,2,3390,73609,3361,255,0
1776430598937,2,3450,74952,3421,237,0
1776430599939,2,3510,76301,3481,258,0
1776430600937,2,3570,77638,3541,241,0
