wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431354151,6,0,0,1,0,0
1776431355153,6,114,3616,61,143,18
1776431356153,6,174,7276,121,143,32
1776431357151,6,234,10936,181,144,32
1776431358151,6,291,14413,241,145,32
1776431359152,6,354,18256,301,142,32
1776431360152,6,414,21916,361,141,32
1776431361152,6,474,25576,421,143,32
1776431362152,6,534,29236,481,144,32
1776431363153,6,594,32896,541,141,32
1776431364152,6,654,36556,601,143,32
1776431365153,6,714,40216,661,141,32
1776431366152,6,774,43876,721,143,32
1776431367153,6,834,47536,781,142,32
1776431368152,6,894,51196,841,144,32
1776431369153,6,954,54856,901,141,32
1776431370153,6,1014,58516,961,143,32
1776431371152,6,1074,62176,1021,143,32
1776431372153,6,1134,65836,1081,140,32
1776431373152,6,1194,69496,1141,143,32
1776431374152,6,1254,73156,1201,143,32
1776431375152,6,1314,76816,1261,143,32
1776431376152,6,1374,80476,1321,142,32
1776431377151,6,1434,84136,1381,143,32
1776431378152,6,1494,87796,1441,142,32
1776431379153,6,1554,91456,1501,144,32
1776431380153,6,1614,95116,1561,145,32
1776431381153,6,1674,98776,1621,142,32
1776431382151,6,1734,102436,1681,142,32
1776431383153,6,1794,106096,1741,140,32
1776431384152,6,1854,109756,1801,142,32
1776431385153,6,1914,113416,1861,144,32
1776431386153,6,1974,117076,1921,143,32
1776431387151,6,2034,120736,1981,142,32
1776431388152,6,2094,124396,2041,143,32
1776431389152,6,2154,128056,2101,143,32
1776431390151,6,2214,131716,2161,141,32
1776431391153,6,2274,135376,2221,141,32
1776431392151,6,2334,139036,2281,142,32
1776431393151,6,2394,142696,2341,142,32
1776431394151,6,2454,146356,2401,143,32
1776431395152,6,2514,150016,2461,143,32
1776431396152,6,2574,153676,2521,144,32
1776431397152,6,2634,157336,2581,143,32
1776431398151,6,2694,160996,2641,142,32
1776431399153,6,2754,164656,2701,144,32
1776431400153,6,2814,168316,2761,142,32
1776431401153,6,2874,171976,2821,140,32
1776431402152,6,2934,175636,2881,144,32
1776431403151,6,2994,179296,2941,143,32
1776431404152,6,3054,182956,3001,142,32
1776431405152,6,3114,186616,3061,142,32
1776431406151,6,3174,190276,3121,144,32
1776431407151,6,3234,193936,3181,143,32
1776431408152,6,3294,197596,3241,143,32
1776431409151,6,3354,201256,3301,145,32
1776431410152,6,3414,204916,3361,144,32
1776431411151,6,3474,208576,3421,144,32
1776431412151,6,3534,212236,3481,145,32
1776431413151,6,3594,215896,3541,143,32
