wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431353914,2,0,0,1,0,0
1776431354915,2,99,3154,61,145,13
1776431355915,2,159,6814,121,145,32
1776431356915,2,219,10474,181,147,32
1776431357915,2,279,14134,241,147,32
1776431358916,2,339,17794,301,148,32
1776431359915,2,399,21454,361,147,32
1776431360914,2,459,25114,421,147,32
1776431361916,2,519,28774,481,147,32
1776431362914,2,579,32434,541,147,32
1776431363915,2,639,36094,601,147,32
1776431364915,2,699,39754,661,146,32
1776431365916,2,759,43414,721,147,32
1776431366916,2,819,47074,781,147,32
1776431367914,2,879,50734,841,147,32
1776431368916,2,939,54394,901,148,32
1776431369915,2,999,58054,961,149,32
1776431370918,2,1059,61714,1021,147,32
1776431371916,2,1119,65374,1081,144,32
1776431372914,2,1179,69034,1141,147,32
1776431373914,2,1239,72694,1201,147,32
1776431374916,2,1299,76354,1261,158,32
1776431375914,2,1359,80014,1321,147,32
1776431376916,2,1419,83674,1381,146,32
1776431377915,2,1479,87334,1441,145,32
1776431378915,2,1539,90994,1501,148,32
1776431379916,2,1599,94654,1561,147,32
1776431380915,2,1659,98314,1621,147,32
1776431381915,2,1719,101974,1681,146,32
1776431382914,2,1779,105634,1741,147,32
1776431383915,2,1839,109294,1801,147,32
1776431384915,2,1899,112954,1861,145,32
1776431385916,2,1959,116614,1921,148,32
1776431386915,2,2019,120274,1981,145,32
1776431387914,2,2079,123934,2041,148,32
1776431388914,2,2139,127594,2101,147,32
1776431389915,2,2199,131254,2161,145,32
1776431390914,2,2259,134914,2221,147,32
1776431391914,2,2319,138574,2281,148,32
1776431392914,2,2379,142234,2341,147,32
1776431393916,2,2439,145894,2401,149,32
1776431394915,2,2499,149554,2461,147,32
1776431395914,2,2559,153214,2521,146,32
1776431396914,2,2619,156874,2581,146,32
1776431397916,2,2679,160534,2641,149,32
1776431398914,2,2739,164194,2701,148,32
1776431399915,2,2799,167854,2761,146,32
1776431400914,2,2859,171514,2821,147,32
1776431401914,2,2919,175174,2881,146,32
1776431402915,2,2979,178834,2941,144,32
1776431403915,2,3039,182494,3001,148,32
1776431404914,2,3099,186154,3061,146,32
1776431405914,2,3159,189814,3121,145,32
1776431406915,2,3219,193474,3181,146,32
1776431407915,2,3279,197134,3241,146,32
1776431408915,2,3339,200794,3301,147,32
1776431409914,2,3399,204454,3361,148,32
1776431410915,2,3459,208114,3421,147,32
1776431411914,2,3519,211774,3481,147,32
1776431412915,2,3579,215434,3541,149,32
