condition,mode,reps,clients,mean_delay_ms,delay_ci95_ms,mean_perceived_ms,perceived_ci95_ms,bandwidth_kbps,bandwidth_ci95,snapshot_rate_hz,snapshot_rate_ci95,snapshot_arrival_cv,snapshot_arrival_cv_ci95,arrival_gap_p50_ms,arrival_gap_p50_ci95,arrival_gap_p95_ms,arrival_gap_p95_ci95,arrival_gap_p99_ms,arrival_gap_p99_ci95,bytes_per_snapshot,bytes_per_snapshot_ci95
A_clean,optimized,3,2,29.577746737321927,4.549207944461241,0.0,0.0,8.158347156647489,0.00011951362176310595,19.996831305030835,0.002783839899581673,0.07413477129738115,0.0,50.0,0.0,52.0,0.0,53.0,0.0,100.29180327868852,0.0
A_clean,baseline,3,2,28.246890544884916,4.007301789459219,28.246890544884916,4.007301789459219,10.465517474323102,0.024197214690470648,19.999563442828688,0.0029965492020908374,0.07413477129738115,0.0,50.0,0.0,52.333333333333336,0.6533333333333334,53.4066666666666,0.5946410158892722,128.56156156156155,0.28810000138579434
B_lat100,optimized,3,2,128.7405502539544,1.7529364721639074,0.0,0.0,8.158416291164697,9.03397478725259e-05,19.998142486687367,0.0030209923055027127,0.08051381838530233,0.0,50.0,0.0,52.0,0.0,53.0,0.0,100.93688524590164,0.0
B_lat100,baseline,3,2,130.978785458449,1.7092496848653944,130.978785458449,1.7092496848653944,10.495300914892443,0.010680377960183014,20.00196582737023,0.0011123626460905972,0.06774500761901772,0.0,50.0,0.0,53.0,0.0,54.0,0.0,128.9115479115479,0.13954834700693053
C_lat200,optimized,3,2,225.67968347614365,0.5832790930373182,0.0,0.0,8.158669826713915,0.0005325921278304952,19.994755499037705,0.0009811287003014646,0.08688217582018715,0.0,50.0,0.0,52.0,0.0,53.0,0.0,100.8532786885246,0.0
C_lat200,baseline,3,2,230.07569603268635,2.0956686794848007,230.07569603268635,2.0956686794848007,10.499145361418417,0.023181964601074717,20.001201478477387,0.002807158049707333,0.061344500322222086,9.616816309438122e-18,50.0,0.0,53.0,0.0,54.0,0.0,128.97379197379198,0.27988343748861033
D_lat100_loss3,optimized,3,2,128.73586781706754,3.2749046350622724,0.0,0.0,7.896791555654201,0.05203869981971227,19.999125743971167,0.0009336353899495967,0.08042276507758782,0.0022114623799311746,50.0,0.0,52.666666666666664,0.6533333333333334,100.66666666666667,0.6533333333333333,100.93688524590164,0.0
D_lat100_loss3,baseline,3,2,130.77637383600634,1.2372862306344221,130.77637383600634,1.2372862306344221,10.502985637517645,0.0454206792244812,19.998580532719128,0.001132408928880101,0.06858340883816202,0.0005284773641539962,50.0,0.0,53.183333333333245,0.3593333333331551,100.66666666666667,0.6533333333333333,129.018018018018,0.5540882310199272
E_stress_8,optimized,3,8,128.6734991826099,1.8272300980866718,0.0,0.0,29.247412123387864,0.0049018327836626695,19.996066630533274,0.0032966032971626182,0.09906691445446282,0.0043836348136514994,50.0,0.0,52.0,0.0,53.0,0.0,1443.2289617486338,1.2863169398907728
E_stress_8,baseline,3,8,129.0506483543156,0.19477366281108072,129.0506483543156,0.19477366281108072,36.37142936964997,0.34179476687657256,20.00054607388881,0.001498331187373528,0.08728575667034265,0.0008432664789920223,50.0,0.0,53.0,0.0,55.0,0.0,1786.13377013377,16.730819186951592
