condition,mode,rep,mean_delay_ms,median_delay_ms,p95_delay_ms,mean_perceived_ms,p95_perceived_ms,bandwidth_kbps_mean,snapshot_rate_hz,snapshot_arrival_cv,arrival_gap_p50_ms,arrival_gap_p95_ms,arrival_gap_p99_ms,bytes_per_snapshot,clients,total_bytes_sent
A_clean,baseline,0,32.1377572448551,33.0,51.0,32.1377572448551,51.0,10.48070377160441,19.99803459119497,0.07413477129738115,50.0,53.0,53.2199999999998,128.73628173628174,2,157187
A_clean,baseline,1,25.21227406473308,25.0,43.0,25.21227406473308,43.0,10.474784565981686,19.99803459119497,0.07413477129738115,50.0,52.0,54.0,128.67895167895168,2,157117
A_clean,baseline,2,27.390640325066556,28.0,46.0,27.390640325066556,46.0,10.44106408538321,20.00262114609613,0.07413477129738115,50.0,52.0,53.0,128.26945126945128,2,156617
A_clean,optimized,0,31.403331933361333,32.0,50.0,0.0,0.0,8.158439348485619,19.999344283793974,0.07413477129738115,50.0,52.0,53.0,100.29180327868852,2,122356
A_clean,optimized,1,32.361153900014,35.0,53.0,0.0,0.0,8.158370197115303,19.99442778242129,0.07413477129738115,50.0,52.0,53.0,100.29180327868852,2,122356
A_clean,optimized,2,24.968754378590443,24.0,46.0,0.0,0.0,8.158231924341546,19.996721848877232,0.07413477129738115,50.0,52.0,53.0,100.29180327868852,2,122356
B_lat100,baseline,0,129.79419191919192,130.0,149.0,129.79419191919192,149.0,10.49322033898305,20.000982849280064,0.06774500761901772,50.0,53.0,54.0,128.88533988533987,2,157369
B_lat100,baseline,1,130.46245614035087,131.0,150.0,130.46245614035087,150.0,10.487076547247177,20.001965795164146,0.06774500761901772,50.0,53.0,54.0,128.8034398034398,2,157269
B_lat100,baseline,2,132.67970831580425,133.0,152.0,132.67970831580425,152.0,10.505605858447101,20.002948837666487,0.06774500761901772,50.0,53.0,54.0,129.04586404586405,2,157565
B_lat100,optimized,0,129.95793016407237,130.0,148.0,0.0,0.0,8.158370224738144,20.0,0.08051381838530233,50.0,52.0,53.0,100.93688524590164,2,123143
B_lat100,optimized,1,126.99691358024691,127.0,145.0,0.0,0.0,8.158508474576271,19.995083176268132,0.08051381838530233,50.0,52.0,53.0,100.93688524590164,2,123143
B_lat100,optimized,2,129.26680701754387,129.0,148.0,0.0,0.0,8.158370174179673,19.999344283793974,0.08051381838530233,50.0,52.0,53.0,100.93688524590164,2,123143
C_lat200,baseline,0,231.19499507943203,231.0,249.0,231.19499507943203,249.0,10.477313892835578,20.002948837666487,0.06134450032222209,50.0,53.0,54.0,128.7117117117117,2,157157
C_lat200,baseline,1,227.93805309734512,228.0,249.0,227.93805309734512,249.0,10.502173647302524,19.99836213250348,0.06134450032222209,50.0,53.0,54.0,129.006552006552,2,157517
C_lat200,baseline,2,231.094039921282,231.0,252.0,231.094039921282,252.0,10.51794854411715,20.00229346526219,0.06134450032222209,50.0,53.0,54.0,129.2031122031122,2,157757
C_lat200,optimized,0,225.15100435454417,225.0,245.0,0.0,0.0,8.158301073367829,19.99573861308246,0.08688217582018715,50.0,52.0,53.0,100.8532786885246,2,123041
C_lat200,optimized,1,226.18078381795195,226.0,246.0,0.0,0.0,8.158508474576271,19.99442778242129,0.08688217582018715,50.0,52.0,53.0,100.8532786885246,2,123041
C_lat200,optimized,2,225.70726225593484,226.0,244.0,0.0,0.0,8.159199932197645,19.994100101609362,0.08688217582018715,50.0,52.0,53.0,100.8532786885246,2,123041
D_lat100_loss3,baseline,0,131.739649122807,131.0,155.0,131.739649122807,155.0,10.527304159181044,19.99770706061549,0.06807165623300017,50.0,53.0,101.0,129.3161343161343,2,157895
D_lat100_loss3,baseline,1,129.5879298245614,128.0,148.0,129.5879298245614,148.0,10.524995578644315,19.99967240503841,0.0689865436905292,50.0,53.0,101.0,129.28501228501227,2,157857
D_lat100_loss3,baseline,2,131.00154256065068,130.0,150.0,131.00154256065068,150.0,10.456657174727574,19.99836213250348,0.06869202659095672,50.0,53.54999999999973,100.0,128.45290745290745,2,156841
D_lat100_loss3,optimized,0,127.26349740569346,126.0,144.0,0.0,0.0,7.9474580177977305,19.999016441814337,0.07818695110437482,50.0,52.0,100.0,100.93688524590164,2,123143
D_lat100_loss3,optimized,1,126.87407095778993,125.0,145.0,0.0,0.0,7.885222284368062,19.99836079009917,0.08180527585538178,50.0,53.0,101.0,100.93688524590164,2,123143
D_lat100_loss3,optimized,2,132.0700350877193,135.0,155.0,0.0,0.0,7.85769436479681,20.0,0.08127606827300685,50.0,53.0,101.0,100.93688524590164,2,123143
E_stress_8,baseline,0,129.00419639110365,130.0,151.0,129.00419639110365,151.0,36.56541846534805,20.000327605693787,0.08685551867085692,50.0,53.0,55.0,1795.2751842751843,8,2192031
E_stress_8,baseline,1,128.90652014139224,127.0,151.0,128.90652014139224,151.0,36.52544607019767,20.001965795164146,0.08685551867085692,50.0,53.0,55.0,1794.049959049959,8,2190535
E_stress_8,baseline,2,129.2412285304509,130.0,151.0,129.2412285304509,151.0,36.02342357340417,19.999344820808492,0.0881462326693141,50.0,53.0,55.0,1769.0761670761672,8,2160042
E_stress_8,optimized,0,130.4429556029808,133.0,153.0,0.0,0.0,29.251346048320816,19.993772431537717,0.10167066316192147,50.0,52.0,53.0,1443.8852459016393,8,1761540
E_stress_8,optimized,1,127.27975670290488,127.0,149.0,0.0,0.0,29.242769865611482,19.999344283793974,0.09461514877035107,50.0,52.0,53.0,1441.9163934426228,8,1759138
