wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431292061,5,0,0,1,0,0
1776431293062,5,108,3528,61,141,17
1776431294061,5,168,7188,121,143,32
1776431295063,5,228,10848,181,142,32
1776431296062,5,288,14508,241,140,32
1776431297063,5,348,18168,301,141,32
1776431298061,5,408,21828,361,144,32
1776431299063,5,468,25488,421,142,32
1776431300062,5,528,29148,481,141,32
1776431301061,5,588,32808,541,142,32
1776431302063,5,648,36468,601,143,32
1776431303063,5,708,40128,661,141,32
1776431304062,5,768,43788,721,142,32
1776431305063,5,828,47448,781,140,32
1776431306062,5,888,51108,841,142,32
1776431307061,5,948,54768,901,142,32
1776431308062,5,1008,58428,961,141,32
1776431309061,5,1068,62088,1021,143,32
1776431310063,5,1128,65748,1081,142,32
1776431311062,5,1188,69408,1141,142,32
1776431312062,5,1248,73068,1201,142,32
1776431313062,5,1308,76728,1261,141,32
1776431314061,5,1368,80388,1321,142,32
1776431315062,5,1428,84048,1381,141,32
1776431316062,5,1488,87708,1441,143,32
1776431317062,5,1548,91368,1501,143,32
1776431318062,5,1608,95028,1561,141,32
1776431319062,5,1668,98688,1621,144,32
1776431320062,5,1728,102348,1681,142,32
1776431321061,5,1788,106008,1741,141,32
1776431322063,5,1848,109668,1801,142,32
1776431323062,5,1908,113328,1861,142,32
1776431324062,5,1968,116988,1921,144,32
1776431325062,5,2028,120648,1981,141,32
1776431326063,5,2088,124308,2041,142,32
1776431327061,5,2148,127968,2101,143,32
1776431328062,5,2208,131628,2161,142,32
1776431329062,5,2268,135288,2221,140,32
1776431330061,5,2328,138948,2281,142,32
1776431331062,5,2388,142608,2341,143,32
1776431332061,5,2448,146268,2401,140,32
1776431333061,5,2508,149928,2461,144,32
1776431334061,5,2568,153588,2521,142,32
1776431335063,5,2628,157248,2581,143,32
1776431336061,5,2688,160908,2641,142,32
1776431337062,5,2748,164568,2701,141,32
1776431338062,5,2808,168228,2761,143,32
1776431339063,5,2868,171888,2821,143,32
1776431340063,5,2928,175548,2881,141,32
1776431341062,5,2988,179208,2941,143,32
1776431342061,5,3048,182868,3001,141,32
1776431343062,5,3108,186528,3061,141,32
1776431344061,5,3168,190188,3121,141,32
1776431345062,5,3228,193848,3181,144,32
1776431346064,5,3288,197508,3241,143,32
1776431347061,5,3348,201168,3301,141,32
1776431348061,5,3408,204828,3361,143,32
1776431349061,5,3468,208488,3421,143,32
1776431350062,5,3528,212148,3481,141,32
1776431351062,5,3588,215808,3541,142,32
