wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776429983007,1,0,0,0,0
1776429984007,61,2,743,20,31
1776429985007,121,2,2783,40,151
1776429986007,181,2,4823,60,271
1776429987007,241,2,6863,80,391
1776429988007,301,2,8903,100,511
1776429989007,361,2,10943,120,631
1776429990007,421,2,12983,140,751
1776429991007,481,2,15023,160,871
1776429992007,541,2,17063,180,991
1776429993007,601,2,19103,200,1111
1776429994007,661,2,21143,220,1231
1776429995007,721,2,23183,240,1351
1776429996007,781,2,25223,260,1471
1776429997007,841,2,27263,280,1591
1776429998007,901,2,29303,300,1711
1776429999007,961,2,31343,320,1831
1776430000007,1021,2,33383,340,1951
1776430001007,1081,2,35423,360,2071
1776430002007,1141,2,37463,380,2191
1776430003007,1201,2,39503,400,2311
1776430004007,1261,2,41543,420,2431
1776430005007,1321,2,43583,440,2551
1776430006007,1381,2,45623,460,2671
1776430007007,1441,2,47663,480,2791
1776430008007,1501,2,49703,500,2911
1776430009007,1561,2,51743,520,3031
1776430010007,1621,2,53783,540,3151
1776430011007,1681,2,55823,560,3271
1776430012007,1741,2,57863,580,3391
1776430013007,1801,2,59903,600,3511
1776430014007,1861,2,61943,620,3631
1776430015007,1921,2,63983,640,3751
1776430016007,1981,2,66023,660,3871
1776430017007,2041,2,68063,680,3991
1776430018007,2101,2,70103,700,4111
1776430019007,2161,2,72143,720,4231
1776430020007,2221,2,74183,740,4351
1776430021007,2281,2,76223,760,4471
1776430022007,2341,2,78263,780,4591
1776430023007,2401,2,80303,800,4711
1776430024007,2461,2,82343,820,4831
1776430025007,2521,2,84383,840,4951
1776430026007,2581,2,86423,860,5071
1776430027007,2641,2,88463,880,5191
1776430028007,2701,2,90503,900,5311
1776430029007,2761,2,92543,920,5431
1776430030007,2821,2,94583,940,5551
1776430031007,2881,2,96623,960,5671
1776430032007,2941,2,98663,980,5791
1776430033007,3001,2,100703,1000,5911
1776430034007,3061,2,102743,1020,6031
1776430035007,3121,2,104783,1040,6151
1776430036007,3181,2,106823,1060,6271
1776430037007,3241,2,108863,1080,6391
1776430038007,3301,2,110903,1100,6511
1776430039007,3361,2,112943,1120,6631
1776430040007,3421,2,114983,1140,6751
1776430041007,3481,2,117023,1160,6871
1776430042007,3541,2,119063,1180,6991
1776430043007,3601,2,121103,1200,7111
1776430044007,3661,2,123143,1220,7195
