wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431229923,3,0,0,1,0,0
1776431230924,3,102,3330,61,146,15
1776431231925,3,162,6990,120,155,32
1776431232924,3,222,10650,180,153,32
1776431233926,3,282,14310,240,154,32
1776431234926,3,342,17970,300,153,32
1776431235925,3,402,21630,360,150,32
1776431236925,3,462,25290,420,154,32
1776431237925,3,522,28950,480,152,32
1776431238925,3,582,32610,540,152,32
1776431239924,3,642,36270,600,153,32
1776431240924,3,702,39930,660,153,32
1776431241925,3,762,43590,720,151,32
1776431242925,3,822,47250,780,150,32
1776431243924,3,882,50910,840,151,32
1776431244923,3,942,54570,900,152,32
1776431245924,3,1002,58230,960,154,32
1776431246924,3,1062,61890,1020,152,32
1776431247925,3,1122,65550,1080,151,32
1776431248925,3,1182,69210,1140,153,32
1776431249926,3,1242,72870,1200,152,32
1776431250924,3,1302,76530,1260,153,32
1776431251926,3,1362,80190,1320,153,32
1776431252925,3,1422,83850,1380,153,32
1776431253924,3,1482,87510,1440,152,32
1776431254923,3,1542,91170,1500,153,32
1776431255924,3,1602,94830,1560,152,32
1776431256925,3,1662,98490,1620,152,32
1776431257925,3,1722,102150,1680,152,32
1776431258924,3,1782,105810,1740,150,32
1776431259924,3,1842,109470,1800,154,32
1776431260924,3,1902,113130,1860,153,32
1776431261924,3,1962,116790,1920,154,32
1776431262926,3,2022,120450,1980,154,32
1776431263925,3,2082,124110,2040,153,32
1776431264924,3,2142,127770,2100,152,32
1776431265924,3,2202,131430,2160,150,32
1776431266926,3,2262,135090,2220,152,32
1776431267924,3,2322,138750,2280,152,32
1776431268924,3,2382,142410,2340,149,32
1776431269925,3,2442,146070,2400,152,32
1776431270925,3,2502,149730,2460,153,32
1776431271925,3,2562,153390,2520,154,32
1776431272926,3,2622,157050,2580,152,32
1776431273923,3,2682,160710,2640,153,32
1776431274924,3,2742,164370,2700,155,32
1776431275925,3,2802,168030,2760,152,32
1776431276924,3,2862,171690,2820,152,32
1776431277925,3,2922,175350,2880,153,32
1776431278924,3,2982,179010,2940,152,32
1776431279924,3,3042,182670,3000,151,32
1776431280924,3,3102,186330,3060,150,32
1776431281924,3,3162,189990,3120,153,32
1776431282924,3,3222,193650,3180,154,32
1776431283924,3,3282,197310,3240,152,32
1776431284923,3,3342,200970,3300,154,32
1776431285924,3,3402,204630,3360,154,32
1776431286924,3,3462,208290,3420,150,32
1776431287925,3,3522,211950,3480,151,32
1776431288925,3,3582,215610,3540,151,32
