wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431415863,2,0,0,1,0,0
1776431416864,2,93,3295,61,136,0
1776431417863,2,153,7785,121,138,0
1776431418865,2,213,12372,181,136,0
1776431419864,2,273,16803,241,138,0
1776431420865,2,333,21054,301,140,0
1776431421865,2,393,25580,361,138,0
1776431422864,2,453,30048,421,139,0
1776431423865,2,513,34438,481,137,0
1776431424864,2,573,38896,541,140,0
1776431425864,2,633,43181,601,138,0
1776431426865,2,693,47575,661,153,0
1776431427864,2,753,51996,721,141,0
1776431428864,2,813,56464,781,137,0
1776431429865,2,873,60775,841,138,0
1776431430863,2,933,65389,901,156,0
1776431431865,2,993,69861,961,151,0
1776431432864,2,1053,74218,1021,140,0
1776431433863,2,1113,78944,1081,151,0
1776431434865,2,1173,83753,1141,137,0
1776431435864,2,1233,88305,1201,137,0
1776431436865,2,1293,92685,1261,141,0
1776431437864,2,1353,97474,1321,137,0
1776431438864,2,1413,102116,1381,138,0
1776431439865,2,1473,106755,1441,138,0
1776431440863,2,1533,111432,1501,138,0
1776431441863,2,1593,116105,1561,155,0
1776431442864,2,1653,120848,1621,136,0
1776431443865,2,1713,125525,1681,138,0
1776431444863,2,1773,129945,1741,137,0
1776431445864,2,1833,134486,1801,139,0
1776431446864,2,1893,139068,1861,137,0
1776431447864,2,1953,143491,1921,137,0
1776431448865,2,2013,148295,1981,138,0
1776431449865,2,2073,152978,2041,139,0
1776431450865,2,2133,157652,2101,140,0
1776431451864,2,2193,162218,2161,137,0
1776431452864,2,2253,166781,2221,135,0
1776431453865,2,2313,171380,2281,138,0
1776431454863,2,2373,176099,2341,138,0
1776431455864,2,2433,181026,2401,154,0
1776431456864,2,2493,185892,2461,136,0
1776431457865,2,2553,190580,2521,137,0
1776431458863,2,2613,195149,2581,137,0
1776431459863,2,2673,199752,2641,153,0
1776431460864,2,2733,204412,2701,153,0
1776431461863,2,2793,209061,2761,136,0
1776431462863,2,2853,213836,2821,138,0
1776431463864,2,2913,218623,2881,138,0
1776431464863,2,2973,223340,2941,139,0
1776431465865,2,3033,228037,3001,135,0
1776431466864,2,3093,232693,3061,138,0
1776431467864,2,3153,237449,3121,153,0
1776431468863,2,3213,242127,3181,138,0
1776431469864,2,3273,246623,3241,135,0
1776431470864,2,3333,251136,3301,140,0
1776431471863,2,3393,255459,3361,138,0
1776431472863,2,3453,260177,3421,137,0
1776431473865,2,3513,264676,3481,138,0
1776431474863,2,3573,269453,3541,139,0
