wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776430919709,2,0,0,1,0,0
1776430920709,2,99,1020,61,140,20
1776430921711,2,156,1989,121,141,32
1776430922709,2,219,2856,181,140,32
1776430923709,2,279,3825,241,141,32
1776430924711,2,339,4845,301,138,32
1776430925710,2,399,5814,361,141,32
1776430926710,2,459,6732,421,192,32
1776430927710,2,519,7752,481,141,32
1776430928711,2,579,8721,541,140,32
1776430929709,2,639,9741,601,140,32
1776430930711,2,699,10710,661,191,32
1776430931711,2,756,11679,721,142,32
1776430932710,2,819,12699,781,142,32
1776430933711,2,879,13668,841,141,32
1776430934710,2,939,14637,901,142,32
1776430935709,2,999,15657,961,144,32
1776430936710,2,1059,16626,1021,138,32
1776430937711,2,1119,17646,1081,142,32
1776430938710,2,1179,18666,1141,158,32
1776430939711,2,1239,19686,1201,142,32
1776430940712,2,1299,20706,1261,141,32
1776430941711,2,1359,21726,1321,142,32
1776430942711,2,1419,22746,1381,140,32
1776430943711,2,1479,23766,1441,141,32
1776430944710,2,1539,24786,1501,143,32
1776430945711,2,1599,25806,1561,143,32
1776430946710,2,1659,26724,1621,143,32
1776430947710,2,1716,27693,1681,141,32
1776430948710,2,1776,28662,1741,142,32
1776430949710,2,1839,29631,1801,192,32
1776430950711,2,1899,30651,1861,140,32
1776430951710,2,1959,31620,1921,142,32
1776430952710,2,2019,32538,1981,142,32
1776430953711,2,2079,33507,2041,139,32
1776430954710,2,2139,34476,2101,141,32
1776430955709,2,2199,35496,2161,142,32
1776430956709,2,2259,36414,2221,141,32
1776430957709,2,2319,37434,2281,141,32
1776430958710,2,2379,38454,2341,143,32
1776430959710,2,2439,39423,2401,140,32
1776430960711,2,2499,40443,2461,140,32
1776430961711,2,2559,41463,2521,140,32
1776430962710,2,2619,42483,2581,141,32
1776430963709,2,2679,43401,2641,142,32
1776430964709,2,2739,44319,2701,142,32
1776430965710,2,2799,45339,2761,141,32
1776430966711,2,2859,46308,2821,142,32
1776430967711,2,2919,47277,2881,143,32
1776430968711,2,2979,48246,2941,189,32
1776430969710,2,3039,49266,3001,140,32
1776430970711,2,3099,50286,3061,140,32
1776430971709,2,3159,51306,3121,141,32
1776430972711,2,3219,52275,3181,142,32
1776430973711,2,3279,53295,3241,141,32
1776430974710,2,3339,54315,3301,140,32
1776430975710,2,3399,55284,3361,140,32
1776430976710,2,3459,56304,3421,140,32
1776430977710,2,3519,57324,3481,142,32
1776430978710,2,3579,58344,3541,142,32
