wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776430919670,1,0,0,1,0,0
1776430920672,1,96,998,61,146,19
1776430921671,1,156,1967,121,146,32
1776430922672,1,216,2885,181,145,32
1776430923671,1,276,3803,241,148,32
1776430924672,1,333,4772,301,148,32
1776430925672,1,396,5792,361,148,32
1776430926671,1,456,6812,421,148,32
1776430927673,1,516,7781,481,148,32
1776430928672,1,576,8801,541,147,32
1776430929671,1,636,9770,601,149,32
1776430930670,1,696,10790,661,147,32
1776430931671,1,756,11759,721,197,32
1776430932673,1,816,12779,781,150,32
1776430933672,1,876,13799,841,149,32
1776430934670,1,936,14819,901,148,32
1776430935671,1,996,15788,961,199,32
1776430936671,1,1056,16808,1021,147,32
1776430937672,1,1116,17828,1081,150,32
1776430938671,1,1176,18797,1141,149,32
1776430939672,1,1236,19715,1201,147,32
1776430940671,1,1296,20684,1261,149,32
1776430941672,1,1353,21653,1321,148,32
1776430942671,1,1416,22622,1381,149,32
1776430943671,1,1476,23591,1441,146,32
1776430944671,1,1536,24560,1501,146,32
1776430945673,1,1596,25529,1561,149,32
1776430946673,1,1656,26498,1621,147,32
1776430947672,1,1716,27518,1681,148,32
1776430948672,1,1776,28487,1741,147,32
1776430949671,1,1836,29456,1801,148,32
1776430950673,1,1896,30476,1861,149,32
1776430951671,1,1956,31496,1921,146,32
1776430952672,1,2016,32465,1981,147,32
1776430953671,1,2076,33485,2041,145,32
1776430954672,1,2136,34505,2101,148,32
1776430955672,1,2196,35474,2161,147,32
1776430956672,1,2256,36392,2221,147,32
1776430957672,1,2316,37412,2281,146,32
1776430958673,1,2376,38330,2341,146,32
1776430959671,1,2436,39299,2401,147,32
1776430960672,1,2496,40268,2461,147,32
1776430961671,1,2556,41237,2521,146,32
1776430962671,1,2616,42206,2581,147,32
1776430963670,1,2676,43226,2641,149,32
1776430964672,1,2736,44246,2701,146,32
1776430965673,1,2796,45215,2761,147,32
1776430966670,1,2856,46235,2821,148,32
1776430967672,1,2916,47204,2881,146,32
1776430968672,1,2976,48224,2941,147,32
1776430969672,1,3036,49193,3001,147,32
1776430970670,1,3096,50162,3061,148,32
1776430971671,1,3156,51182,3121,147,32
1776430972670,1,3216,52151,3181,163,32
1776430973671,1,3276,53171,3241,149,32
1776430974671,1,3336,54140,3301,148,32
1776430975671,1,3396,55109,3361,147,32
1776430976672,1,3456,56129,3421,145,32
1776430977672,1,3516,56996,3481,147,32
1776430978673,1,3576,57965,3541,195,32
